,lon,lat,alt,accuracy,speed,angle
20140120 15:30:55:565,-4.672305679321289E8,-2.3559959411621094E8,762.4846,160.0,0.4733725,160.0
20140120 15:30:55:735,-4.672305679321289E8,-2.3559959411621094E8,762.4846,160.0,0.4733725,160.0
20140120 15:30:55:981,-4.672305679321289E8,-2.3559959411621094E8,762.4846,160.0,0.4733725,160.0
20140120 15:30:56:136,-4.672305679321289E8,-2.3559959411621094E8,762.4846,160.0,0.4733725,160.0
20140120 15:30:56:367,-4.672304916381836E8,-2.355996322631836E8,762.87463,160.0,0.0,0.0
20140120 15:30:56:536,-4.672304916381836E8,-2.355996322631836E8,762.87463,160.0,0.0,0.0
20140120 15:30:56:735,-4.672304916381836E8,-2.355996322631836E8,762.87463,160.0,0.0,0.0
20140120 15:30:56:936,-4.672304916381836E8,-2.355996322631836E8,762.87463,160.0,0.0,0.0
20140120 15:30:57:156,-4.672304916381836E8,-2.355996322631836E8,762.87463,160.0,0.0,0.0
20140120 15:30:57:395,-4.672304916381836E8,-2.355996322631836E8,762.87463,160.0,0.0,0.0
20140120 15:30:57:535,-4.672304916381836E8,-2.355998992919922E8,764.8676,160.0,5.25521,0.0
20140120 15:30:57:736,-4.672304916381836E8,-2.355998992919922E8,764.8676,160.0,5.25521,0.0
20140120 15:30:57:936,-4.672304916381836E8,-2.355998992919922E8,764.8676,160.0,5.25521,0.0
20140120 15:30:58:135,-4.672304916381836E8,-2.355998992919922E8,764.8676,160.0,5.25521,0.0
20140120 15:30:58:363,-4.672304916381836E8,-2.355998992919922E8,764.8676,160.0,5.25521,0.0
20140120 15:30:58:535,-4.672303009033203E8,-2.3560043334960938E8,759.72766,160.0,0.0,0.0
20140120 15:30:58:736,-4.672303009033203E8,-2.3560043334960938E8,759.72766,160.0,0.0,0.0
20140120 15:30:58:936,-4.672303009033203E8,-2.3560043334960938E8,759.72766,160.0,0.0,0.0
20140120 15:30:59:135,-4.672303009033203E8,-2.3560043334960938E8,759.72766,160.0,0.0,0.0
20140120 15:30:59:335,-4.672303009033203E8,-2.3560043334960938E8,759.72766,160.0,0.0,0.0
20140120 15:30:59:536,-4.672303009033203E8,-2.356005859375E8,755.23083,160.0,0.0,0.0
20140120 15:30:59:735,-4.672303009033203E8,-2.356005859375E8,755.23083,160.0,0.0,0.0
20140120 15:30:59:936,-4.672303009033203E8,-2.356005859375E8,755.23083,160.0,0.0,0.0
20140120 15:31:00:135,-4.672303009033203E8,-2.356005859375E8,755.23083,160.0,0.0,0.0
20140120 15:31:00:357,-4.672303009033203E8,-2.356005859375E8,755.23083,160.0,0.0,0.0
20140120 15:31:00:538,-4.672306442260742E8,-2.3560054779052734E8,745.94446,160.0,0.0,0.0
20140120 15:31:00:746,-4.672306442260742E8,-2.3560054779052734E8,745.94446,160.0,0.0,0.0
20140120 15:31:00:936,-4.672306442260742E8,-2.3560054779052734E8,745.94446,160.0,0.0,0.0
20140120 15:31:01:137,-4.672306442260742E8,-2.3560054779052734E8,745.94446,160.0,0.0,0.0
20140120 15:31:01:350,-4.6723087310791016E8,-2.3560043334960938E8,737.0262,160.0,0.0,0.0
20140120 15:31:01:538,-4.6723087310791016E8,-2.3560043334960938E8,737.0262,160.0,0.0,0.0
20140120 15:31:01:746,-4.6723087310791016E8,-2.3560043334960938E8,737.0262,160.0,0.0,0.0
20140120 15:31:01:937,-4.6723087310791016E8,-2.3560043334960938E8,737.0262,160.0,0.0,0.0
20140120 15:31:02:136,-4.6723087310791016E8,-2.3560043334960938E8,737.0262,160.0,0.0,0.0
20140120 15:31:02:342,-4.6723094940185547E8,-2.3560049057006836E8,735.6898,160.0,21.664516,-19.800049
20140120 15:31:02:537,-4.6723094940185547E8,-2.3560049057006836E8,735.6898,160.0,21.664516,-19.800049
20140120 15:31:02:736,-4.6723094940185547E8,-2.3560049057006836E8,735.6898,160.0,21.664516,-19.800049
20140120 15:31:02:935,-4.6723094940185547E8,-2.3560049057006836E8,735.6898,160.0,21.664516,-19.800049
20140120 15:31:03:135,-4.6723094940185547E8,-2.3560049057006836E8,735.6898,160.0,21.664516,-19.800049
20140120 15:31:03:354,-4.672311019897461E8,-2.356001853942871E8,731.36096,160.0,10.741216,-22.400024
20140120 15:31:03:536,-4.672311019897461E8,-2.356001853942871E8,731.36096,160.0,10.741216,-22.400024
20140120 15:31:03:768,-4.672311019897461E8,-2.356001853942871E8,731.36096,160.0,10.741216,-22.400024
20140120 15:31:03:938,-4.672311019897461E8,-2.356001853942871E8,731.36096,160.0,10.741216,-22.400024
20140120 15:31:04:138,-4.672311019897461E8,-2.356001853942871E8,731.36096,160.0,10.741216,-22.400024
20140120 15:31:04:338,-4.672311019897461E8,-2.356001853942871E8,731.36096,160.0,10.741216,-22.400024
20140120 15:31:04:537,-4.672312545776367E8,-2.3559961318969727E8,726.80133,160.0,10.505093,-140.5
20140120 15:31:04:740,-4.672312545776367E8,-2.3559961318969727E8,726.80133,160.0,10.505093,-140.5
20140120 15:31:04:938,-4.672312545776367E8,-2.3559961318969727E8,726.80133,160.0,10.505093,-140.5
20140120 15:31:05:137,-4.672312545776367E8,-2.3559961318969727E8,726.80133,160.0,10.505093,-140.5
20140120 15:31:05:339,-4.672312545776367E8,-2.3559961318969727E8,726.80133,160.0,10.505093,-140.5
20140120 15:31:05:536,-4.672314453125E8,-2.3559955596923828E8,724.82556,160.0,0.0,-139.90002
20140120 15:31:05:746,-4.672314453125E8,-2.3559955596923828E8,724.82556,160.0,0.0,-139.90002
20140120 15:31:05:935,-4.672314453125E8,-2.3559955596923828E8,724.82556,160.0,0.0,-139.90002
20140120 15:31:06:135,-4.672314453125E8,-2.3559955596923828E8,724.82556,160.0,0.0,-139.90002
20140120 15:31:06:358,-4.6723148345947266E8,-2.355994987487793E8,723.818,160.0,0.0,-126.5
20140120 15:31:06:535,-4.6723148345947266E8,-2.355994987487793E8,723.818,160.0,0.0,-126.5
20140120 15:31:06:735,-4.6723148345947266E8,-2.355994987487793E8,723.818,160.0,0.0,-126.5
20140120 15:31:06:938,-4.6723148345947266E8,-2.355994987487793E8,723.818,160.0,0.0,-126.5
20140120 15:31:07:151,-4.6723148345947266E8,-2.355994987487793E8,723.818,160.0,0.0,-126.5
20140120 15:31:07:359,-4.672315216064453E8,-2.3559938430786133E8,723.66815,160.0,0.0,-126.400024
20140120 15:31:07:548,-4.672315216064453E8,-2.3559938430786133E8,723.66815,160.0,0.0,-126.400024
20140120 15:31:07:769,-4.672315216064453E8,-2.3559938430786133E8,723.66815,160.0,0.0,-126.400024
20140120 15:31:07:962,-4.672315216064453E8,-2.3559938430786133E8,723.66815,160.0,0.0,-126.400024
20140120 15:31:08:181,-4.672315216064453E8,-2.3559938430786133E8,723.66815,160.0,0.0,-126.400024
20140120 15:31:08:385,-4.672315216064453E8,-2.3559938430786133E8,723.66815,160.0,0.0,-126.400024
20140120 15:31:08:536,-4.672315979003906E8,-2.355994415283203E8,725.0398,160.0,15.9158535,-46.0
20140120 15:31:08:738,-4.672315979003906E8,-2.355994415283203E8,725.0398,160.0,15.9158535,-46.0
20140120 15:31:08:938,-4.672315979003906E8,-2.355994415283203E8,725.0398,160.0,15.9158535,-46.0
20140120 15:31:09:138,-4.672315979003906E8,-2.355994415283203E8,725.0398,160.0,15.9158535,-46.0
