,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,gps_status,cgps_used,press_compass_status,f_mode,gps_pos_used,vehicle_type,error_flags1,gps_accH
20140120 15:30:22:446,-36,12.4,0.0,-0.02,0.0,0.0,0.0,false,0,0,-0.82,330.99,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:22:589,-42,12.4,0.0,-0.01,0.0,0.0,0.0,false,0,0,-0.82,330.98,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:22:790,-34,12.4,0.0,-0.02,0.0,0.0,0.0,false,0,0,-0.82,330.98,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:22:990,-39,12.4,0.0,-0.04,0.0,0.0,0.0,false,0,0,-0.82,330.99,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:23:190,-35,12.4,0.0,-0.03,0.0,0.0,0.0,false,0,0,-0.82,331.0,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:23:293,-35,12.4,0.0,-0.03,0.0,0.0,0.0,false,0,0,-0.82,331.01,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:23:471,-33,12.4,0.0,-0.02,0.0,0.0,0.0,false,0,0,-0.83,331.0,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:23:673,-34,12.4,0.0,-0.04,0.0,0.0,0.0,false,0,0,-0.83,331.0,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:23:871,-37,12.4,0.0,-0.01,0.0,0.0,0.0,false,0,0,-0.83,331.01,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:24:071,-33,12.4,0.0,-0.05,0.0,0.0,0.0,false,0,0,-0.83,331.0,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:24:280,-39,12.4,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.83,330.99,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:24:473,-35,12.4,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.83,331.04,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:24:891,-39,12.4,0.0,-0.05,0.0,0.0,0.0,false,0,0,-0.83,331.13,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:25:155,-40,12.4,0.0,-0.09,0.0,0.0,0.0,false,0,0,-0.83,331.18,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:25:356,-35,12.4,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.83,331.23,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:26:540,-37,12.4,0.0,-0.05,0.0,0.0,0.0,false,0,0,-0.83,331.39,-2.08,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:26:739,-44,12.4,0.0,-0.04,0.0,0.0,0.0,false,0,0,-0.83,331.41,-2.08,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:28:228,-57,12.4,0.0,0.0,0.0,0.0,0.0,false,0,0,-0.84,331.43,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:28:428,-57,12.4,0.0,-0.01,0.0,0.0,0.0,false,0,0,-0.84,331.43,-2.07,15,97,1,1,21,16,false,2,32,10.0
